1.39,1.43,1.56
1.59,1.55,1.47
1.51,1.52,1.59
1.51,1.55,1.47
1.51,1.51,1.59
1.55,1.55,1.64
1.51,1.51,1.22
1.56,1.59,1.63
1.42,1.47,1.55
1.64,1.51,1.56
1.47,1.6,1.51
1.59,1.47,1.55
1.47,1.51,1.47
1.55,1.63,1.47
1.51,1.47,1.55
1.55,1.47,1.55
1.56,1.51,1.43
1.47,1.59,1.63
1.55,1.56,1.55
1.47,1.46,1.47
1.59,1.6,1.6
1.55,1.47,1.47
1.43,1.55,1.51
1.59,1.51,1.51
1.47,1.47,1.51
1.55,1.47,1.55
1.51,1.55,1.51
1.56,1.63,1.59
1.59,1.56,1.56
1.47,1.51,1.46
1.55,1.47,1.51
1.55,1.59,1.6
1.43,1.47,1.47
1.55,1.51,1.59
1.51,1.55,1.55
1.6,1.59,1.51
1.47,1.6,1.6
1.59,1.47,1.38
1.47,1.46,1.55
1.51,1.52,1.47
1.55,1.55,1.6
1.55,1.47,1.47
1.47,1.59,1.38
1.55,1.47,1.68
1.6,1.55,1.59
1.47,1.39,1.47
1.55,1.59,1.59
1.42,1.59,1.52
1.64,1.51,1.55
1.43,1.56,1.47
1.51,1.55,1.55
1.55,1.51,1.59
1.51,1.51,1.51
1.55,1.51,1.47
1.51,1.55,1.51
1.55,1.51,1.43
1.52,1.55,1.63
1.55,1.56,1.6
1.51,1.47,1.43
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
